alpha_id,formula,transpiled,status,sharpe,cagr,max_dd,trades,win_rate,pnl,non_zero_pos_pct,error
Alpha#47,"((((rank((1 / close)) * volume) / adv20) * ((high * rank((high - close))) / (sum(high, 5) / 5))) - rank((vwap - delay(vwap, 5))))","(((rank(1 / close) * volume) / adv20) * ((high * rank(high - close)) / (sum_(high, 5) / 5))) - rank(vwap - delay(vwap, 5))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#48,"(indneutralize(((correlation(delta(close, 1), delta(delay(close, 1), 1), 250) * delta(close, 1)) / close), IndClass.subindustry) / sum(((delta(close, 1) / delay(close, 1))^2), 250))","indneutralize(((correlation(delta(close, 1), delta(delay(close, 1), 1), 250) * delta(close, 1)) / close), IndClass.subindustry) / sum_(((delta(close, 1) / delay(close, 1))**2), 250)",SUCCESS,-2.441445753178137,0.0,-479.70774965532667,33167,47.95198614032917,-2983496000.0000114,98.90021698421663,
Alpha#49,"(((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.1)) ? 1 : ((-1 * 1) * (close - delay(close, 1))))","where((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.1), 1, (-1 * 1) * (close - delay(close, 1)))",SUCCESS,-1.1761771254931457,0.0,-221.14478134017918,20808,49.41245882295098,-826384000.0000141,99.6433136165027,
Alpha#50,"(-1 * ts_max(rank(correlation(rank(volume), rank(vwap), 5)), 5))","-1 * ts_max(rank(correlation(rank(volume), rank(vwap), 5)), 5)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#51,"(((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.05)) ? 1 : ((-1 * 1) * (close - delay(close, 1))))","where((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.05), 1, (-1 * 1) * (close - delay(close, 1)))",SUCCESS,-1.0503764777616897,0.0,-198.58055627798618,20186,49.38296683764156,-594976000.0000188,99.6433136165027,
Alpha#52,"((((-1 * ts_min(low, 5)) + delay(ts_min(low, 5), 5)) * rank(((sum(returns, 240) - sum(returns, 20)) / 220))) * ts_rank(volume, 5))","(((-1 * ts_min(low, 5)) + delay(ts_min(low, 5), 5)) * rank((sum_(returns, 240) - sum_(returns, 20)) / 220)) * ts_rank(volume, 5)",SUCCESS,-3.3317672859914054,0.0,-661.6729371909809,31138,47.893838986943116,-4750062000.000002,98.93291323603721,
Alpha#53,"(-1 * delta((((close - low) - (high - close)) / (close - low)), 9))","-1 * delta((((close - low) - (high - close)) / (close - low)), 9)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#54,((-1 * ((low - close) * (open^5))) / ((low - high) * (close^5))),(-1 * ((low - close) * (open_**5))) / ((low - high) * (close**5)),SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#55,"(-1 * correlation(rank(((close - ts_min(low, 12)) / (ts_max(high, 12) - ts_min(low, 12)))), rank(volume), 6))","-1 * correlation(rank((close - ts_min(low, 12)) / (ts_max(high, 12) - ts_min(low, 12))), rank(volume), 6)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#56,"(0 - (1 * (rank((sum(returns, 10) / sum(sum(returns, 2), 3))) * rank((returns * cap)))))","0 - (1 * (rank(sum_(returns, 10) / sum_(sum_(returns, 2), 3)) * rank(returns * cap)))",SUCCESS,-2.3146968625764077,0.0,-695.6949276367316,33173,48.7784073600195,-2476099999.9999504,99.5898106589781,
Alpha#57,"(0 - (1 * ((close - vwap) / decay_linear(rank(ts_argmax(close, 30)), 2))))","0 - (1 * ((close - vwap) / decay_linear(rank(ts_argmax(close, 30)), 2)))",SUCCESS,-3.4328261454740727,0.0,-1009.6241999999995,33435,48.1578867833288,-5977974000.000004,99.55711440715751,
Alpha#58,"(-1 * Ts_Rank(decay_linear(correlation(IndNeutralize(vwap, IndClass.sector), volume, 3.92795), 7.89291), 5.50322))","-1 * Ts_Rank(decay_linear(correlation(IndNeutralize(vwap, IndClass.sector), volume, 3.92795), 7.89291), 5.50322)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#59,"(-1 * Ts_Rank(decay_linear(correlation(IndNeutralize(((vwap * 0.728317) + (vwap * (1 - 0.728317))), IndClass.industry), volume, 4.25197), 16.2289), 8.19648))","-1 * Ts_Rank(decay_linear(correlation(IndNeutralize(((vwap * 0.728317) + (vwap * (1 - 0.728317))), IndClass.industry), volume, 4.25197), 16.2289), 8.19648)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#60,"(0 - (1 * ((2 * scale(rank(((((close - low) - (high - close)) / (high - low)) * volume)))) - scale(rank(ts_argmax(close, 10)))))) 12","0 - (1 * ((2 * scale(rank((((close - low) - (high - close)) / (high - low)) * volume))) - scale(rank(ts_argmax(close, 10)))))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#61,"(rank((vwap - ts_min(vwap, 16.1219))) < rank(correlation(vwap, adv180, 17.9282)))","rank(vwap - ts_min(vwap, 16.1219)) < rank(correlation(vwap, adv180, 17.9282))",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#62,"((rank(correlation(vwap, sum(adv20, 22.4101), 9.91009)) < rank(((rank(open) + rank(open)) < (rank(((high + low) / 2)) + rank(high))))) * -1)","(rank(correlation(vwap, sum_(adv20, 22.4101), 9.91009)) < rank((rank(open_) + rank(open_)) < (rank((high + low) / 2) + rank(high)))) * -1",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#63,"((rank(decay_linear(delta(IndNeutralize(close, IndClass.industry), 2.25164), 8.22237)) - rank(decay_linear(correlation(((vwap * 0.318108) + (open * (1 - 0.318108))), sum(adv180, 37.2467), 13.557), 12.2883))) * -1)","(rank(decay_linear(delta(IndNeutralize(close, IndClass.industry), 2.25164), 8.22237)) - rank(decay_linear(correlation(((vwap * 0.318108) + (open_ * (1 - 0.318108))), sum_(adv180, 37.2467), 13.557), 12.2883))) * -1",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#64,"((rank(correlation(sum(((open * 0.178404) + (low * (1 - 0.178404))), 12.7054), sum(adv120, 12.7054), 16.6208)) < rank(delta(((((high + low) / 2) * 0.178404) + (vwap * (1 - 0.178404))), 3.69741))) * -1)","(rank(correlation(sum_(((open_ * 0.178404) + (low * (1 - 0.178404))), 12.7054), sum_(adv120, 12.7054), 16.6208)) < rank(delta(((((high + low) / 2) * 0.178404) + (vwap * (1 - 0.178404))), 3.69741))) * -1",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#65,"((rank(correlation(((open * 0.00817205) + (vwap * (1 - 0.00817205))), sum(adv60, 8.6911), 6.40374)) < rank((open - ts_min(open, 13.635)))) * -1)","(rank(correlation(((open_ * 0.00817205) + (vwap * (1 - 0.00817205))), sum_(adv60, 8.6911), 6.40374)) < rank(open_ - ts_min(open_, 13.635))) * -1",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#66,"((rank(decay_linear(delta(vwap, 3.51013), 7.23052)) + Ts_Rank(decay_linear(((((low * 0.96633) + (low * (1 - 0.96633))) - vwap) / (open - ((high + low) / 2))), 11.4157), 6.72611)) * -1)","(rank(decay_linear(delta(vwap, 3.51013), 7.23052)) + Ts_Rank(decay_linear(((((low * 0.96633) + (low * (1 - 0.96633))) - vwap) / (open_ - ((high + low) / 2))), 11.4157), 6.72611)) * -1",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#67,"((rank((high - ts_min(high, 2.14593)))^rank(correlation(IndNeutralize(vwap, IndClass.sector), IndNeutralize(adv20, IndClass.subindustry), 6.02936))) * -1)","(rank(high - ts_min(high, 2.14593))**rank(correlation(IndNeutralize(vwap, IndClass.sector), IndNeutralize(adv20, IndClass.subindustry), 6.02936))) * -1",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#68,"((Ts_Rank(correlation(rank(high), rank(adv15), 8.91644), 13.9333) < rank(delta(((close * 0.518371) + (low * (1 - 0.518371))), 1.06157))) * -1)","(Ts_Rank(correlation(rank(high), rank(adv15), 8.91644), 13.9333) < rank(delta(((close * 0.518371) + (low * (1 - 0.518371))), 1.06157))) * -1",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#69,"((rank(ts_max(delta(IndNeutralize(vwap, IndClass.industry), 2.72412), 4.79344))^Ts_Rank(correlation(((close * 0.490655) + (vwap * (1 - 0.490655))), adv20, 4.92416), 9.0615)) * -1)","(rank(ts_max(delta(IndNeutralize(vwap, IndClass.industry), 2.72412), 4.79344))**Ts_Rank(correlation(((close * 0.490655) + (vwap * (1 - 0.490655))), adv20, 4.92416), 9.0615)) * -1",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#70,"((rank(delta(vwap, 1.29456))^Ts_Rank(correlation(IndNeutralize(close, IndClass.industry), adv50, 17.8256), 17.9171)) * -1)","(rank(delta(vwap, 1.29456))**Ts_Rank(correlation(IndNeutralize(close, IndClass.industry), adv50, 17.8256), 17.9171)) * -1",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#71,"max(Ts_Rank(decay_linear(correlation(Ts_Rank(close, 3.43976), Ts_Rank(adv180, 12.0647), 18.0175), 4.20501), 15.6948), Ts_Rank(decay_linear((rank(((low + open) - (vwap + vwap)))^2), 16.4662), 4.4388))","max_(Ts_Rank(decay_linear(correlation(Ts_Rank(close, 3.43976), Ts_Rank(adv180, 12.0647), 18.0175), 4.20501), 15.6948), Ts_Rank(decay_linear((rank((low + open_) - (vwap + vwap))**2), 16.4662), 4.4388))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#72,"(rank(decay_linear(correlation(((high + low) / 2), adv40, 8.93345), 10.1519)) / rank(decay_linear(correlation(Ts_Rank(vwap, 3.72469), Ts_Rank(volume, 18.5188), 6.86671), 2.95011)))","rank(decay_linear(correlation(((high + low) / 2), adv40, 8.93345), 10.1519)) / rank(decay_linear(correlation(Ts_Rank(vwap, 3.72469), Ts_Rank(volume, 18.5188), 6.86671), 2.95011))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#73,"(max(rank(decay_linear(delta(vwap, 4.72775), 2.91864)), Ts_Rank(decay_linear(((delta(((open * 0.147155) + (low * (1 - 0.147155))), 2.03608) / ((open * 0.147155) + (low * (1 - 0.147155)))) * -1), 3.33829), 16.7411)) * -1) 13","max_(rank(decay_linear(delta(vwap, 4.72775), 2.91864)), Ts_Rank(decay_linear(((delta(((open_ * 0.147155) + (low * (1 - 0.147155))), 2.03608) / ((open_ * 0.147155) + (low * (1 - 0.147155)))) * -1), 3.33829), 16.7411)) * -1",SUCCESS,-2.9381635757002176,0.0,-970.7840627050492,23878,47.331170746092596,-7664230000.000013,99.57494872633237,
Alpha#74,"((rank(correlation(close, sum(adv30, 37.4843), 15.1365)) < rank(correlation(rank(((high * 0.0261661) + (vwap * (1 - 0.0261661)))), rank(volume), 11.4791))) * -1)","(rank(correlation(close, sum_(adv30, 37.4843), 15.1365)) < rank(correlation(rank((high * 0.0261661) + (vwap * (1 - 0.0261661))), rank(volume), 11.4791))) * -1",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#75,"(rank(correlation(vwap, volume, 4.24304)) < rank(correlation(rank(low), rank(adv50), 12.4413)))","rank(correlation(vwap, volume, 4.24304)) < rank(correlation(rank(low), rank(adv50), 12.4413))",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#76,"(max(rank(decay_linear(delta(vwap, 1.24383), 11.8259)), Ts_Rank(decay_linear(Ts_Rank(correlation(IndNeutralize(low, IndClass.sector), adv81, 8.14941), 19.569), 17.1543), 19.383)) * -1)","max_(rank(decay_linear(delta(vwap, 1.24383), 11.8259)), Ts_Rank(decay_linear(Ts_Rank(correlation(IndNeutralize(low, IndClass.sector), adv81, 8.14941), 19.569), 17.1543), 19.383)) * -1",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
