Timestamp,Strategy,Initial Capital,Net Equity,Total Profit,Total Fees,Total Trades,Largest Win,Largest Loss,Avg Win,Avg Loss,Unrealized PnL,Cumulative Return,CAGR,Win Rate,Profit Factor (PF),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Payoff Ratio,Volatility,Max Drawdown,Recovery Factor,Kelly Criterion,Omega Ratio,Ulcer Index,VaR,CVaR
2026-06-16 12:51:07,Mcts_Rsi_Atr_74c0_30m.py,1.000.000.000 ₫,1.255.152.000 ₫,+25.52%,+3.96%,825,+4.25%,-2.91%,+0.23%,-0.18%,255.152.000 ₫,+25.52%,+7.92%,+46.88%,1.14,0.5,0.94,0.36,1.29,0.14,-22.12%,1.15,+5.85%,1.14,0.06,-1.44%,-1.96%
2026-06-16 12:52:00,Mcts_Rsi_Atr_c458_30m.py,1.000.000.000 ₫,1.359.216.000 ₫,+35.92%,+4.93%,1024,+5.46%,-2.94%,+0.23%,-0.16%,359.216.000 ₫,+35.92%,+10.85%,+48.26%,1.19,0.68,1.33,0.59,1.28,0.14,-18.35%,1.96,+7.86%,1.19,0.05,-1.43%,-1.78%
2026-06-16 15:05:18,Aroon_CMO_ADX_EMA_Trend_15m.py,1.000.000.000 ₫,4.486.160.000 ₫,+348.62%,+28.70%,1190,+9.44%,-6.08%,+0.46%,-0.31%,3.486.160.000 ₫,+348.62%,+65.48%,+45.33%,1.53,1.63,3.74,3.56,1.84,0.31,-18.40%,18.94,+15.67%,1.53,0.07,-2.96%,-3.15%
2026-06-16 15:06:01,CCI_ATR_Breakout_Trend_15m.py,1.000.000.000 ₫,4.778.720.000 ₫,+377.87%,+42.77%,1779,+12.49%,-24.82%,+0.53%,-0.31%,3.778.720.000 ₫,+377.87%,+69.02%,+48.14%,1.49,1.89,2.7,2.51,1.61,0.35,-27.51%,13.73,+15.87%,1.49,0.06,-3.43%,-4.44%
2026-06-16 15:06:44,Kama_Atr_Breakout_Trend_15m.py,1.000.000.000 ₫,3.920.800.000 ₫,+292.08%,+26.40%,1099,+10.27%,-7.06%,+0.63%,-0.32%,2.920.800.000 ₫,+292.08%,+58.16%,+49.54%,1.65,1.96,3.67,2.66,1.68,0.29,-21.85%,13.37,+19.50%,1.65,0.05,-2.84%,-3.15%
2026-06-16 15:07:27,Keltner_ADX_Breakout_10m.py,1.000.000.000 ₫,3.143.120.000 ₫,+214.31%,+30.29%,1260,+10.58%,-5.52%,+0.43%,-0.26%,2.143.120.000 ₫,+214.31%,+46.86%,+44.85%,1.68,1.4,4.13,3.39,2.06,0.23,-13.81%,15.52,+18.10%,1.68,0.05,-2.24%,-2.26%
2026-06-16 15:08:43,Mcts_Rsi_Wma_47bb_1m.py,1.000.000.000 ₫,2.895.008.000 ₫,+188.37%,+54.60%,5686,+9.68%,-6.76%,+0.06%,-0.06%,1.895.008.000 ₫,+188.37%,+42.67%,+52.80%,1.38,1.65,2.76,3.51,1.23,0.23,-12.16%,15.49,+14.47%,1.38,0.03,-2.22%,-2.99%
2026-06-16 15:10:27,Mcts_Tema_Atr_d691_30m.py,1.000.000.000 ₫,1.526.368.000 ₫,+52.64%,+3.61%,501,+6.24%,-4.18%,+0.30%,-0.26%,526.368.000 ₫,+52.64%,+15.25%,+51.65%,1.2,0.69,1.31,0.71,1.12,0.19,-21.42%,2.46,+8.62%,1.2,0.07,-1.91%,-2.67%
2026-06-16 15:11:39,Mcts_Tema_cb74_1m.py,1.000.000.000 ₫,1.649.600.000 ₫,+64.77%,+15.90%,6622,+1.39%,-2.69%,+0.02%,-0.02%,649.600.000 ₫,+64.77%,+18.24%,+53.14%,1.53,2.27,3.97,3.05,1.35,0.07,-5.99%,10.81,+18.48%,1.53,0.02,-0.69%,-0.92%
2026-06-16 15:12:51,Mcts_Tema_dc9a_1m.py,1.000.000.000 ₫,3.493.596.000 ₫,+247.93%,+55.74%,6634,+7.51%,-5.32%,+0.05%,-0.04%,2.493.596.000 ₫,+247.93%,+51.95%,+54.67%,1.65,2.49,4.77,6.62,1.37,0.17,-7.84%,31.62,+21.58%,1.65,0.02,-1.57%,-1.96%
2026-06-16 15:13:39,Mcts_Tema_e90c_3m.py,1.000.000.000 ₫,1.896.820.000 ₫,+89.68%,+18.83%,3138,+3.73%,-5.50%,+0.10%,-0.08%,896.820.000 ₫,+89.68%,+23.96%,+52.43%,1.31,1.48,2.24,2.53,1.19,0.16,-9.47%,9.47,+12.32%,1.31,0.03,-1.57%,-2.16%
2026-06-16 15:15:21,Mcts_Wma_Dema_e50c_1m.py,1.000.000.000 ₫,3.230.340.000 ₫,+220.24%,+46.03%,5480,+8.40%,-5.91%,+0.05%,-0.05%,2.230.340.000 ₫,+220.24%,+47.78%,+53.07%,1.51,2.15,3.8,4.96,1.34,0.19,-9.64%,22.84,+18.03%,1.51,0.02,-1.79%,-2.31%
2026-06-16 15:16:28,Mcts_Wma_e20c_1m.py,1.000.000.000 ₫,2.063.452.000 ₫,+105.54%,+17.60%,4887,+4.06%,-2.95%,+0.03%,-0.03%,1.063.452.000 ₫,+105.54%,+27.35%,+53.94%,1.55,2.33,4.12,6.61,1.32,0.11,-4.13%,25.52,+19.15%,1.55,0.01,-1.00%,-1.28%
2026-06-16 15:17:36,Mcts_Wma_Ema_Tema_705a_1m.py,1.000.000.000 ₫,3.185.484.000 ₫,+215.79%,+50.64%,6028,+3.40%,-8.01%,+0.05%,-0.05%,2.185.484.000 ₫,+215.79%,+47.09%,+52.80%,1.51,2.12,3.63,2.98,1.35,0.19,-15.81%,13.65,+17.74%,1.51,0.04,-1.78%,-2.40%
2026-06-16 15:18:54,Natr_Adx_Linear_Breakout_15m.py,1.000.000.000 ₫,4.466.640.000 ₫,+346.66%,+91.06%,2398,+12.10%,-12.10%,+0.60%,-0.49%,3.466.640.000 ₫,+346.66%,+65.24%,+52.03%,1.28,1.28,1.83,1.85,1.18,0.58,-35.34%,9.81,+11.34%,1.28,0.13,-5.73%,-8.09%
2026-06-16 15:20:06,Parabolic_SAR_MFI_Structural_Breakout_5m.py,1.000.000.000 ₫,81.440.000 ₫,-100.00%,+587.62%,24463,+7.43%,-8.37%,+0.14%,-0.10%,-918.560.000 ₫,-100.00%,-100.00%,+43.33%,0.82,-0.39,-0.93,-1.0,1.0,3.15,-100.00%,-1.0,-13.46%,0.82,0.64,-33.55%,-58.07%
2026-06-16 15:21:19,PPO_CMO_ATR_Trail_5m.py,1.000.000.000 ₫,-2.891.440.000 ₫,-100.00%,+446.06%,18585,+9.95%,-7.56%,+0.13%,-0.08%,-3.891.440.000 ₫,-100.00%,-100.00%,+37.47%,1.22,-2.16,1.16,-1.0,1.11,2.07,-100.00%,-1.0,-18.72%,1.22,1.71,-20.91%,-26.75%
2026-06-16 15:22:46,Session_Cci_Roc_Breakout_10m.py,1.000.000.000 ₫,6.267.760.000 ₫,+526.78%,+100.94%,4070,+11.86%,-28.27%,+0.38%,-0.26%,5.267.760.000 ₫,+526.78%,+85.13%,+54.93%,1.38,1.84,2.34,1.73,1.13,0.47,-49.17%,10.71,+15.03%,1.38,0.11,-4.62%,-6.66%
